antecedents;consequents;antecedent support;consequent support;support;confidence;lift;representativity;leverage;conviction;zhangs_metric;jaccard;certainty;kulczynski;complexidade
frozenset({'Celular_Net', 'Alta_Renda'});frozenset({'Alta_Escol', 'Urbano', 'Internet'});0.2341378353743114;0.42923948797210004;0.1621685887528237;0.6926201760324984;1.613598458298221;1.0;0.06166738418185841;1.8568574367075077;0.4965216324662137;0.3235549932790385;0.46145569378058815;0.535212313110885;5
frozenset({'TV', 'Celular_Net', 'Alta_Renda', 'Urbano'});frozenset({'Alta_Escol', 'Internet'});0.1954186977370903;0.49680973328577654;0.15566916339713865;0.7965929831677144;1.6034166196770054;1.0;0.058583252295321034;2.4738097758403144;0.4677361655699548;0.29012482458084055;0.5957651999898353;0.5549652854575011;6
frozenset({'Celular_Net', 'Alta_Renda'});frozenset({'TV', 'Alta_Escol', 'Internet'});0.2341378353743114;0.45690167637617407;0.1710854832956842;0.7307041299932295;1.599259026118411;1.0;0.06410751381007265;2.016734692627004;0.4892661372755084;0.3290396341463414;0.5041489573934005;0.5525755882857117;5
frozenset({'Celular_Net', 'Alta_Renda', 'Urbano'});frozenset({'Alta_Escol', 'Internet'});0.20421670035271272;0.49680973328577654;0.1621685887528237;0.7941005239666215;1.5983996905910784;1.0;0.060711744318091135;2.4438637553048013;0.47044748669057884;0.30094873869235866;0.5908118863707773;0.5602602173119642;5
frozenset({'TV', 'Alta_Renda', 'Internet'});frozenset({'Celular_Net', 'Alta_Escol'});0.23429635794396228;0.45713946023065033;0.1710854832956842;0.7302097428958051;1.5973456820537364;1.0;0.06397937269117406;2.01215768722031;0.4883892586961822;0.3287890327494287;0.5030210572703935;0.552231009289255;5
frozenset({'Alta_Renda', 'Urbano'});frozenset({'TV', 'Celular_Net', 'Alta_Escol', 'Internet'});0.23152221297507233;0.4234930448222566;0.15566916339713865;0.6723724751797329;1.5876824505156466;1.0;0.05762111648033831;1.7596413961067796;0.4816679604759214;0.31174603174603166;0.4317023899230219;0.5199781148124005;6
frozenset({'Alta_Renda', 'Urbano'});frozenset({'TV', 'Celular_Net', 'Alta_Escol'});0.23152221297507233;0.42491974794911425;0.15582768596678953;0.6730571722013009;1.5839630317249977;1.0;0.05744932558480065;1.7589627395189917;0.4797433844281674;0.3112729575680811;0.4314831249504118;0.5198898992884886;5
frozenset({'Alta_Renda', 'Internet'});frozenset({'Celular_Net', 'Alta_Escol'});0.2469385328736179;0.45713946023065033;0.17845678278444893;0.7226769378911891;1.5808675486613244;1.0;0.06557143515645454;1.9575023283002413;0.4879229024666641;0.33951594661841217;0.4891449243545317;0.5565270255125647;4
frozenset({'TV', 'Alta_Renda'});frozenset({'Celular_Net', 'Urbano', 'Alta_Escol', 'Internet'});0.25058455197558754;0.39448341457615027;0.15566916339713865;0.6212241024829985;1.5747787600917724;1.0;0.05681771369377407;1.5986143505782888;0.48703314876664133;0.3180824358247631;0.37445826153239753;0.5079196662706332;6
frozenset({'TV', 'Alta_Renda'});frozenset({'Celular_Net', 'Urbano', 'Alta_Escol'});0.25058455197558754;0.3959497483454207;0.15582768596678953;0.6218567135853235;1.5705445354717713;1.0;0.05660879567280565;1.5974110168180284;0.48474869987029634;0.31755774511387497;0.3739870393582513;0.5077054561821123;5
